feature_5,feature_6,feature_7,feature_8,feature_9,MonthlyCharges,Tenure,Gender,Contract,InternetService,Churn
-2.8732703802156827,1.6228752735909744,1.1974231998049074,-1.8702084671204515,7.149388996534132,84.60970649728029,12,Male,Two year,Fiber optic,1
1.0473431163438045,-0.8382832367759102,-0.8571723738917058,-0.8483194056261063,0.03961306914371143,39.389135544961455,0,Male,One year,Fiber optic,0
-2.5980141894739726,0.8579892971621974,-0.5791288370068761,-1.251153833768841,0.16537623719369868,24.668496850884587,12,Female,One year,DSL,0
-2.303886235302519,-0.13331127234599705,-0.7483831806910335,0.509018910577683,2.2544633490237804,54.9368456774912,12,Female,Month-to-month,DSL,0
-0.5491428842044097,1.4221579721661988,-0.0001316862269378586,1.2367380983245344,-0.5297722396450908,40.07701622656594,12,Male,One year,Fiber optic,1
0.21904070123662556,-0.7439365335310031,3.284118201287884,1.3173675020851447,-1.3623377699712436,50.451776064891725,0,Male,One year,Fiber optic,0
0.3756507652501839,-1.285802645366163,0.04959182766158583,1.2157876057798385,-0.7090795420688402,46.73143260960137,0,Male,Two year,No,0
1.526644295772762,-0.30538123553650953,-0.940977261282717,1.127770606470265,-3.367273258326239,29.984111991738843,24,Female,One year,Fiber optic,1
0.0027135206965138714,-2.9834624217020913,-0.6221274803563891,-1.2918074521548382,-1.4869096154774386,52.66190824329274,0,Male,One year,Fiber optic,0
-0.2940728105510684,0.5848601710104555,0.13822523650184043,1.8944050182226713,-2.8898039100705173,20.484113550957982,24,Male,One year,Fiber optic,1
-1.0478126021800143,-0.16372895406355514,0.8468537431799008,0.9290245868593696,0.9405821779376936,37.55863427624918,0,Female,One year,Fiber optic,1
-3.0557437342967404,-0.9130054810212253,0.16325562629216542,-1.00372393165229,0.04278646238815103,23.619843180042174,24,Female,One year,DSL,0
-4.455683023649076,3.6265936703634125,-0.5142094443630262,-0.12328406323780672,6.7643792625227075,81.1205820504874,12,Male,Two year,Fiber optic,1
-3.0528820018852603,1.2214031081241679,-0.06439754062470791,-3.1432382881948135,0.6548648983342252,39.712800382477724,24,Female,One year,DSL,0
-1.7673359617278515,-1.2597003069903405,-1.1315053013521625,-2.0284327780779403,0.5568765698554738,34.65049825551006,12,Male,One year,DSL,0
2.132713442811321,2.9974281319953033,-0.20292395653422776,-1.7589804947922598,-1.2325796205546413,98.60470912870299,12,Female,Two year,Fiber optic,1
-0.4180944322202914,-2.049786207921729,0.31992786184477334,0.1035944959962306,-3.7921632689323617,64.27857136577778,36,Female,One year,Fiber optic,0
0.5536367034744034,0.3317800887580026,2.485313924533686,-0.34677870366335584,-1.4725786855235896,20.96313218500927,12,Male,One year,Fiber optic,1
-2.8637510983404146,-1.4695574446780868,1.321880992159802,0.9161166810439858,1.3403346643337852,79.2732778793008,36,Female,Two year,Fiber optic,1
1.823305341927592,1.947621206910184,-1.6048043108980627,-1.6857340761623174,-1.8097462124183255,54.10777462413262,0,Male,One year,Fiber optic,1
-0.11434504767145737,-0.6415647811562575,1.035916209432034,1.0541624929701032,0.8364891131068773,21.374381284789724,0,Male,Two year,Fiber optic,0
